Indicator,Group,State,Subgroup,Phase,Time_Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low_CI,High_CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,30.8,30.0,31.7,30.0 - 31.7,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,30.0,28.9,31.0,28.9 - 31.0,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,28.2,27.6,28.9,27.6 - 28.9,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,29.4,28.8,30.1,28.8 - 30.1,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,30.6,30.0,31.2,30.0 - 31.2,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,31.1,30.2,32.1,30.2 - 32.1,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,31.7,30.9,32.5,30.9 - 32.5,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,31.2,30.5,32.0,30.5 - 32.0,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,33.0,32.3,33.6,32.3 - 33.6,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,34.0,33.2,34.7,33.2 - 34.7,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,35.6,34.7,36.5,34.7 - 36.5,
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,36.1,35.2,36.9,35.2 - 36.9,
