Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.2,38.1,42.4,38.1 - 42.4,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.4,32.6,36.1,32.6 - 36.1,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.1,32.1,36.2,32.1 - 36.2,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.0,29.0,33.1,29.0 - 33.1,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,24.9,23.6,26.3,23.6 - 26.3,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,16.4,14.8,18.1,14.8 - 18.1,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,14.6,11.5,18.2,11.5 - 18.2,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,42.0,38.3,45.7,38.3 - 45.7,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,34.3,32.6,36.1,32.6 - 36.1,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,31.9,29.3,34.6,29.3 - 34.6,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,31.3,29.0,33.7,29.0 - 33.7,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,22.0,19.8,24.3,19.8 - 24.3,
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,16.4,14.5,18.5,14.5 - 18.5,
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,11.0,8.2,14.3,8.2 - 14.3,
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,38.6,36.2,41.1,36.2 - 41.1,
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,32.2,30.3,34.1,30.3 - 34.1,
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,30.7,28.9,32.5,28.9 - 32.5,
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,28.4,26.6,30.3,26.6 - 30.3,
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,22.3,20.7,24.0,20.7 - 24.0,
