Indicator,Group,State,Subgroup,Phase,Time_Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low_CI,High_CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,23.5,22.7,24.3,22.7 - 24.3,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,2,May 7 - May 12,05/07/2020 12:00:00 AM,05/12/2020 12:00:00 AM,24.1,23.0,25.2,23.0 - 25.2,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,3,May 14 - May 19,05/14/2020 12:00:00 AM,05/19/2020 12:00:00 AM,24.4,23.7,25.2,23.7 - 25.2,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,4,May 21 - May 26,05/21/2020 12:00:00 AM,05/26/2020 12:00:00 AM,24.9,24.1,25.7,24.1 - 25.7,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,5,May 28 - June 2,05/28/2020 12:00:00 AM,06/02/2020 12:00:00 AM,25.3,24.7,25.8,24.7 - 25.8,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,6,June 4 - June 9,06/04/2020 12:00:00 AM,06/09/2020 12:00:00 AM,25.8,25.0,26.7,25.0 - 26.7,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,7,June 11 - June 16,06/11/2020 12:00:00 AM,06/16/2020 12:00:00 AM,25.1,24.3,25.9,24.3 - 25.9,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,8,June 18 - June 23,06/18/2020 12:00:00 AM,06/23/2020 12:00:00 AM,25.6,25.0,26.3,25.0 - 26.3,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,26.9,26.1,27.7,26.1 - 27.7,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,27.6,27.0,28.1,27.0 - 28.1,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,28.1,27.3,28.9,27.3 - 28.9,
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,29.6,28.8,30.5,28.8 - 30.5,
